AGE,EMPLOYER,EDUCATION,MARRIAGE,JOB,RACE,GENDER,COUNTRY,SALARY
32, ?, 7th-8th, Married-spouse-absent, ?, White, Male, ?,53424
39, ?, Masters, Married-civ-spouse, ?, Asian-Pac-Islander, Female, ?,51761
24, ?, Some-college, Never-married, ?, White, Male, ?,60339
64, ?, HS-grad, Married-civ-spouse, ?, White, Male, ?,52890
47, ?, HS-grad, Married-civ-spouse, ?, White, Male, ?,35929
25, ?, Some-college, Never-married, ?, Black, Male, ?,20728
21, ?, Bachelors, Never-married, ?, Asian-Pac-Islander, Male, ?,113406
32, ?, Bachelors, Never-married, ?, White, Female, ?,147184
35, ?, 10th, Divorced, ?, White, Female, ?,89065
29, ?, Some-college, Never-married, ?, Black, Male, ?,82036
32, ?, HS-grad, Married-civ-spouse, ?, White, Male, ?,179685
35, ?, Bachelors, Divorced, ?, White, Female, ?,27307
37, ?, HS-grad, Divorced, ?, Asian-Pac-Islander, Female, ?,40382
33, ?, Bachelors, Never-married, ?, Black, Male, ?,61958
28, ?, Some-college, Divorced, ?, White, Female, ?,84897
27, ?, Bachelors, Married-civ-spouse, ?, Black, Female, ?,121428
69, ?, Prof-school, Married-civ-spouse, ?, White, Female, ?,29739
55, ?, 7th-8th, Married-civ-spouse, ?, White, Male, ?,137961
41, ?, Assoc-voc, Married-civ-spouse, ?, White, Female, ?,96480
24, ?, HS-grad, Never-married, ?, Asian-Pac-Islander, Female, ?,176399
38, ?, Bachelors, Married-civ-spouse, ?, Other, Female, ?,190907
68, ?, 7th-8th, Widowed, ?, White, Female, ?,143888
48, ?, Some-college, Married-civ-spouse, ?, White, Male, ?,141842
27, ?, Bachelors, Married-spouse-absent, ?, White, Male, ?,121951
20, ?, Some-college, Never-married, ?, White, Female, ?,40355
20, ?, Some-college, Never-married, ?, White, Female, ?,63635
81, ?, Assoc-voc, Divorced, ?, White, Female, ?,92562
56, Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Male, ?,189003
45, Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Male, ?,13493
31, Private, HS-grad, Separated, Adm-clerical, White, Female, ?,73302
30, Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Male, ?,86492
47, Private, Bachelors, Married-civ-spouse, Adm-clerical, Asian-Pac-Islander, Male, ?,34473
41, Private, Prof-school, Married-civ-spouse, Adm-clerical, White, Male, ?,68057
64, Self-emp-inc, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, ?,104281
22, Private, Some-college, Never-married, Adm-clerical, Asian-Pac-Islander, Male, ?,81991
20, Private, Some-college, Never-married, Adm-clerical, White, Female, ?,22036
42, Self-emp-inc, Bachelors, Married-civ-spouse, Adm-clerical, White, Female, ?,119467
30, Private, HS-grad, Never-married, Adm-clerical, White, Male, ?,94968
48, Private, Bachelors, Married-civ-spouse, Adm-clerical, White, Male, ?,162123
46, Federal-gov, HS-grad, Divorced, Adm-clerical, Black, Female, ?,34867
