17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, pre-primary, *, *, *, male, *, <=50K
