17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
