*, *, pre-primary, married, *, *, *, *, 19264
*, *, pre-primary, married, *, *, *, *, 18024
*, *, pre-primary, married, *, *, *, *, 9677
*, *, pre-primary, married, *, *, *, *, 15300
*, *, pre-primary, married, *, *, *, *, 8828
*, *, pre-primary, married, *, *, *, *, 14101
*, *, pre-primary, married, *, *, *, *, 16790
*, *, pre-primary, married, *, *, *, *, 8724
*, *, pre-primary, married, *, *, *, *, 5620
*, *, pre-primary, married, *, *, *, *, 9392
*, *, pre-primary, married, *, *, *, *, 17979
*, *, pre-primary, married, *, *, *, *, 11082
*, *, pre-primary, married, *, *, *, *, 5345
*, *, pre-primary, married, *, *, *, *, 12680
*, *, pre-primary, married, *, *, *, *, 11188
*, *, pre-primary, married, *, *, *, *, 10922
*, *, pre-primary, married, *, *, *, *, 10496
*, *, pre-primary, married, *, *, *, *, 5463
*, *, pre-primary, married, *, *, *, *, 19902
*, *, pre-primary, married, *, *, *, *, 11840
*, *, pre-primary, married, *, *, *, *, 17011
*, *, pre-primary, married, *, *, *, *, 10797
*, *, pre-primary, married, *, *, *, *, 8345
*, *, pre-primary, married, *, *, *, *, 8384
*, *, pre-primary, married, *, *, *, *, 11903
*, *, pre-primary, married, *, *, *, *, 8274
*, *, pre-primary, married, *, *, *, *, 15132
*, *, pre-primary, married, *, *, *, *, 12650
*, *, pre-primary, married, *, *, *, *, 6389
*, *, pre-primary, married, *, *, *, *, 10353
*, *, pre-primary, married, *, *, *, *, 12090
*, *, pre-primary, married, *, *, *, *, 6098
*, *, pre-primary, married, *, *, *, *, 10048
*, *, pre-primary, married, *, *, *, *, 15053
*, *, pre-primary, married, *, *, *, *, 5511
*, *, pre-primary, married, *, *, *, *, 6313
*, *, pre-primary, married, *, *, *, *, 13644
*, *, pre-primary, married, *, *, *, *, 9363
*, *, pre-primary, married, *, *, *, *, 17876
*, *, pre-primary, married, *, *, *, *, 14012
*, *, pre-primary, married, *, *, *, *, 12352
*, *, pre-primary, married, *, *, *, *, 8864
*, *, pre-primary, married, *, *, *, *, 15086
*, *, pre-primary, married, *, *, *, *, 19366
*, *, pre-primary, married, *, *, *, *, 16804
*, *, pre-primary, married, *, *, *, *, 15797
*, *, pre-primary, married, *, *, *, *, 7296
*, *, pre-primary, married, *, *, *, *, 17810
*, *, pre-primary, married, *, *, *, *, 18234
*, *, pre-primary, married, *, *, *, *, 10403
*, *, pre-primary, married, *, *, *, *, 15650
*, *, pre-primary, married, *, *, *, *, 5205
*, *, pre-primary, married, *, *, *, *, 9922
*, *, pre-primary, married, *, *, *, *, 15857
*, *, pre-primary, married, *, *, *, *, 14259
*, *, pre-primary, married, *, *, *, *, 19047
*, *, pre-primary, married, *, *, *, *, 15833
*, *, pre-primary, married, *, *, *, *, 7369
*, *, pre-primary, married, *, *, *, *, 9927
*, *, pre-primary, married, *, *, *, *, 17092
*, *, pre-primary, married, *, *, *, *, 19019
*, *, pre-primary, married, *, *, *, *, 13291
*, *, pre-primary, married, *, *, *, *, 12752
*, *, pre-primary, married, *, *, *, *, 19988
*, *, pre-primary, married, *, *, *, *, 8874
*, *, pre-primary, married, *, *, *, *, 13881
*, *, pre-primary, married, *, *, *, *, 17635
*, *, pre-primary, married, *, *, *, *, 7633
*, *, pre-primary, married, *, *, *, *, 12552
*, *, pre-primary, married, *, *, *, *, 5526
*, *, pre-primary, married, *, *, *, *, 7419
*, *, pre-primary, married, *, *, *, *, 12342
*, *, pre-primary, married, *, *, *, *, 16035
*, *, pre-primary, married, *, *, *, *, 5604
*, *, pre-primary, married, *, *, *, *, 14721
*, *, pre-primary, married, *, *, *, *, 15646
*, *, pre-primary, married, *, *, *, *, 15920
*, *, pre-primary, married, *, *, *, *, 12732
*, *, pre-primary, married, *, *, *, *, 18010
*, *, pre-primary, married, *, *, *, *, 18449
*, *, pre-primary, married, *, *, *, *, 16786
*, *, pre-primary, married, *, *, *, *, 13635
*, *, pre-primary, married, *, *, *, *, 17728
*, *, pre-primary, married, *, *, *, *, 6594
*, *, pre-primary, married, *, *, *, *, 19594
*, *, pre-primary, married, *, *, *, *, 9807
*, *, pre-primary, married, *, *, *, *, 13308
*, *, pre-primary, married, *, *, *, *, 14989
*, *, pre-primary, married, *, *, *, *, 14496
*, *, pre-primary, married, *, *, *, *, 5016
*, *, pre-primary, married, *, *, *, *, 17291
*, *, pre-primary, married, *, *, *, *, 15186
*, *, pre-primary, married, *, *, *, *, 10097
*, *, pre-primary, married, *, *, *, *, 15382
*, *, pre-primary, married, *, *, *, *, 12053
*, *, pre-primary, married, *, *, *, *, 11695
*, *, pre-primary, married, *, *, *, *, 14451
*, *, pre-primary, married, *, *, *, *, 6333
*, *, pre-primary, married, *, *, *, *, 14177
*, *, pre-primary, married, *, *, *, *, 15851
*, *, pre-primary, married, *, *, *, *, 11328
*, *, pre-primary, married, *, *, *, *, 8800
*, *, pre-primary, married, *, *, *, *, 13546
*, *, pre-primary, married, *, *, *, *, 16641
*, *, pre-primary, married, *, *, *, *, 12004
*, *, pre-primary, married, *, *, *, *, 18000
*, *, pre-primary, married, *, *, *, *, 15208
*, *, pre-primary, married, *, *, *, *, 19039
*, *, pre-primary, married, *, *, *, *, 8308
*, *, pre-primary, married, *, *, *, *, 16133
*, *, pre-primary, married, *, *, *, *, 19800
*, *, pre-primary, married, *, *, *, *, 12091
*, *, pre-primary, married, *, *, *, *, 14003
*, *, pre-primary, married, *, *, *, *, 6903
*, *, pre-primary, married, *, *, *, *, 15489
*, *, pre-primary, married, *, *, *, *, 11947
*, *, pre-primary, married, *, *, *, *, 6564
*, *, pre-primary, married, *, *, *, *, 16216
*, *, pre-primary, married, *, *, *, *, 8620
*, *, pre-primary, married, *, *, *, *, 6255
*, *, pre-primary, married, *, *, *, *, 9444
*, *, pre-primary, married, *, *, *, *, 10279
*, *, pre-primary, married, *, *, *, *, 17762
*, *, pre-primary, married, *, *, *, *, 8298
*, *, pre-primary, married, *, *, *, *, 18352
*, *, pre-primary, married, *, *, *, *, 16054
*, *, pre-primary, married, *, *, *, *, 19348
*, *, pre-primary, married, *, *, *, *, 10669
*, *, pre-primary, married, *, *, *, *, 19728
*, *, pre-primary, married, *, *, *, *, 6394
*, *, pre-primary, married, *, *, *, *, 19795
*, *, pre-primary, married, *, *, *, *, 19262
*, *, pre-primary, married, *, *, *, *, 16125
*, *, pre-primary, married, *, *, *, *, 15255
*, *, pre-primary, married, *, *, *, *, 8716
*, *, pre-primary, married, *, *, *, *, 9627
*, *, pre-primary, married, *, *, *, *, 16715
*, *, pre-primary, married, *, *, *, *, 11994
*, *, pre-primary, married, *, *, *, *, 5373
*, *, pre-primary, married, *, *, *, *, 7979
*, *, pre-primary, married, *, *, *, *, 15461
*, *, pre-primary, married, *, *, *, *, 13596
*, *, pre-primary, married, *, *, *, *, 11443
*, *, pre-primary, married, *, *, *, *, 8096
*, *, pre-primary, married, *, *, *, *, 7932
*, *, pre-primary, married, *, *, *, *, 19806
*, *, pre-primary, married, *, *, *, *, 10165
*, *, pre-primary, married, *, *, *, *, 6604
*, *, pre-primary, married, *, *, *, *, 13067
*, *, pre-primary, married, *, *, *, *, 8339
*, *, pre-primary, married, *, *, *, *, 9156
*, *, pre-primary, married, *, *, *, *, 5854
*, *, pre-primary, married, *, *, *, *, 10246
*, *, pre-primary, married, *, *, *, *, 9689
*, *, pre-primary, married, *, *, *, *, 17625
*, *, pre-primary, married, *, *, *, *, 5383
*, *, pre-primary, married, *, *, *, *, 13477
*, *, pre-primary, married, *, *, *, *, 12882
*, *, pre-primary, married, *, *, *, *, 12139
*, *, pre-primary, married, *, *, *, *, 16043
*, *, pre-primary, married, *, *, *, *, 8735
*, *, pre-primary, married, *, *, *, *, 11655
*, *, pre-primary, married, *, *, *, *, 7015
*, *, pre-primary, married, *, *, *, *, 10522
*, *, pre-primary, married, *, *, *, *, 12365
*, *, pre-primary, married, *, *, *, *, 17414
*, *, pre-primary, married, *, *, *, *, 9930
*, *, pre-primary, married, *, *, *, *, 17228
*, *, pre-primary, married, *, *, *, *, 6202
*, *, pre-primary, married, *, *, *, *, 13163
*, *, pre-primary, married, *, *, *, *, 10144
*, *, pre-primary, married, *, *, *, *, 8428
*, *, pre-primary, married, *, *, *, *, 14087
*, *, pre-primary, married, *, *, *, *, 9751
*, *, pre-primary, married, *, *, *, *, 11152
*, *, pre-primary, married, *, *, *, *, 10337
*, *, pre-primary, married, *, *, *, *, 9005
*, *, pre-primary, married, *, *, *, *, 6702
