27 - 37, federal-gov, *, married, skilled, *, male, united-states, 83312
27 - 37, federal-gov, *, married, skilled, *, male, united-states, 87317
27 - 37, federal-gov, *, married, skilled, *, male, united-states, 58526
27 - 37, federal-gov, *, married, skilled, *, male, united-states, 109467
27 - 37, federal-gov, *, married, skilled, *, male, united-states, 51658
27 - 37, federal-gov, *, married, skilled, *, male, united-states, 102994
27 - 37, federal-gov, *, married, skilled, *, male, united-states, 85440
27 - 37, federal-gov, *, married, skilled, *, male, united-states, 76978
27 - 37, federal-gov, *, married, skilled, *, male, united-states, 60883
27 - 37, federal-gov, *, married, skilled, *, male, united-states, 88573
27 - 37, federal-gov, *, married, skilled, *, male, united-states, 99804
25 - 30, local-gov, *, married-civ-spouse, skilled, *, male, north-america, 56149
25 - 30, local-gov, *, married-civ-spouse, skilled, *, male, north-america, 57993
25 - 30, local-gov, *, married-civ-spouse, skilled, *, male, north-america, 40753
25 - 30, local-gov, *, married-civ-spouse, skilled, *, male, north-america, 37411
25 - 30, local-gov, *, married-civ-spouse, skilled, *, male, north-america, 66996
25 - 30, local-gov, *, married-civ-spouse, skilled, *, male, north-america, 85046
25 - 30, local-gov, *, married-civ-spouse, skilled, *, male, north-america, 44305
25 - 30, local-gov, *, married-civ-spouse, skilled, *, male, north-america, 80048
25 - 30, local-gov, *, married-civ-spouse, skilled, *, male, north-america, 40959
25 - 30, local-gov, *, married-civ-spouse, skilled, *, male, north-america, 85481
25 - 30, local-gov, *, married-civ-spouse, skilled, *, male, north-america, 40971
25 - 30, local-gov, *, married-civ-spouse, skilled, *, male, north-america, 77362
31 - 32, local-gov, *, married, skilled, *, male, *, 52317
31 - 32, local-gov, *, married, skilled, *, male, *, 51269
31 - 32, local-gov, *, married, skilled, *, male, *, 67795
31 - 32, local-gov, *, married, skilled, *, male, *, 40447
31 - 32, local-gov, *, married, skilled, *, male, *, 113823
31 - 32, local-gov, *, married, skilled, *, male, *, 41151
31 - 32, local-gov, *, married, skilled, *, male, *, 73461
31 - 32, local-gov, *, married, skilled, *, male, *, 59502
33 - 37, local-gov, *, married, skilled, *, male, *, 83391
33 - 37, local-gov, *, married, skilled, *, male, *, 35122
33 - 37, local-gov, *, married, skilled, *, male, *, 75880
33 - 37, local-gov, *, married, skilled, *, male, *, 88032
33 - 37, local-gov, *, married, skilled, *, male, *, 86023
