17 - 27, *, pre-primary, *, *, *, *, *, 9010
17 - 27, *, pre-primary, *, *, *, *, *, 8042
17 - 27, *, pre-primary, *, *, *, *, *, 18806
17 - 27, *, pre-primary, *, *, *, *, *, 16831
17 - 27, *, pre-primary, *, *, *, *, *, 5800
17 - 27, *, pre-primary, *, *, *, *, *, 12587
17 - 27, *, pre-primary, *, *, *, *, *, 18833
17 - 27, *, pre-primary, *, *, *, *, *, 8622
17 - 27, *, pre-primary, *, *, *, *, *, 18197
17 - 27, *, pre-primary, *, *, *, *, *, 16558
17 - 27, *, pre-primary, *, *, *, *, *, 9363
17 - 27, *, pre-primary, *, *, *, *, *, 7564
17 - 27, *, pre-primary, *, *, *, *, *, 13243
17 - 27, *, pre-primary, *, *, *, *, *, 12352
17 - 27, *, pre-primary, *, *, *, *, *, 18883
17 - 27, *, pre-primary, *, *, *, *, *, 8209
17 - 27, *, pre-primary, *, *, *, *, *, 8059
17 - 27, *, pre-primary, *, *, *, *, *, 17178
17 - 27, *, pre-primary, *, *, *, *, *, 17622
17 - 27, *, pre-primary, *, *, *, *, *, 10514
17 - 27, *, pre-primary, *, *, *, *, *, 9254
17 - 27, *, pre-primary, *, *, *, *, *, 17616
17 - 27, *, pre-primary, *, *, *, *, *, 5677
17 - 27, *, pre-primary, *, *, *, *, *, 13049
17 - 27, *, pre-primary, *, *, *, *, *, 6319
17 - 27, *, pre-primary, *, *, *, *, *, 12819
17 - 27, *, pre-primary, *, *, *, *, *, 18145
17 - 27, *, pre-primary, *, *, *, *, *, 16058
17 - 27, *, pre-primary, *, *, *, *, *, 5526
17 - 27, *, pre-primary, *, *, *, *, *, 14721
17 - 27, *, pre-primary, *, *, *, *, *, 7928
17 - 27, *, pre-primary, *, *, *, *, *, 6531
17 - 27, *, pre-primary, *, *, *, *, *, 15108
17 - 27, *, pre-primary, *, *, *, *, *, 15186
17 - 27, *, pre-primary, *, *, *, *, *, 15382
17 - 27, *, pre-primary, *, *, *, *, *, 12053
17 - 27, *, pre-primary, *, *, *, *, *, 15849
17 - 27, *, pre-primary, *, *, *, *, *, 13546
17 - 27, *, pre-primary, *, *, *, *, *, 16888
17 - 27, *, pre-primary, *, *, *, *, *, 12338
17 - 27, *, pre-primary, *, *, *, *, *, 18214
17 - 27, *, pre-primary, *, *, *, *, *, 12004
17 - 27, *, pre-primary, *, *, *, *, *, 16133
17 - 27, *, pre-primary, *, *, *, *, *, 19800
17 - 27, *, pre-primary, *, *, *, *, *, 13360
17 - 27, *, pre-primary, *, *, *, *, *, 6255
17 - 27, *, pre-primary, *, *, *, *, *, 11582
17 - 27, *, pre-primary, *, *, *, *, *, 14741
17 - 27, *, pre-primary, *, *, *, *, *, 18032
17 - 27, *, pre-primary, *, *, *, *, *, 16015
17 - 27, *, pre-primary, *, *, *, *, *, 8829
17 - 27, *, pre-primary, *, *, *, *, *, 12509
17 - 27, *, pre-primary, *, *, *, *, *, 6394
17 - 27, *, pre-primary, *, *, *, *, *, 17509
17 - 27, *, pre-primary, *, *, *, *, *, 9007
17 - 27, *, pre-primary, *, *, *, *, *, 16125
17 - 27, *, pre-primary, *, *, *, *, *, 13945
17 - 27, *, pre-primary, *, *, *, *, *, 18158
17 - 27, *, pre-primary, *, *, *, *, *, 7979
17 - 27, *, pre-primary, *, *, *, *, *, 12157
17 - 27, *, pre-primary, *, *, *, *, *, 11443
17 - 27, *, pre-primary, *, *, *, *, *, 19771
17 - 27, *, pre-primary, *, *, *, *, *, 13231
17 - 27, *, pre-primary, *, *, *, *, *, 10967
17 - 27, *, pre-primary, *, *, *, *, *, 6962
17 - 27, *, pre-primary, *, *, *, *, *, 6604
17 - 27, *, pre-primary, *, *, *, *, *, 19606
17 - 27, *, pre-primary, *, *, *, *, *, 13067
17 - 27, *, pre-primary, *, *, *, *, *, 14384
17 - 27, *, pre-primary, *, *, *, *, *, 9156
17 - 27, *, pre-primary, *, *, *, *, *, 10246
17 - 27, *, pre-primary, *, *, *, *, *, 8735
17 - 27, *, pre-primary, *, *, *, *, *, 10214
17 - 27, *, pre-primary, *, *, *, *, *, 7839
17 - 27, *, pre-primary, *, *, *, *, *, 19347
17 - 27, *, pre-primary, *, *, *, *, *, 5247
17 - 27, *, pre-primary, *, *, *, *, *, 17403
17 - 27, *, pre-primary, *, *, *, *, *, 6427
17 - 27, *, pre-primary, *, *, *, *, *, 10337
17 - 27, *, pre-primary, *, *, *, *, *, 12148
17 - 27, *, pre-primary, *, *, *, *, *, 11703
17 - 27, *, pre-primary, *, *, *, *, *, 17270
17 - 27, *, pre-primary, *, *, *, *, *, 17908
17 - 27, *, pre-primary, *, *, *, *, *, 6578
17 - 27, *, pre-primary, *, *, *, *, *, 9553
17 - 27, *, pre-primary, *, *, *, *, *, 12832
17 - 27, *, pre-primary, *, *, *, *, *, 17457
17 - 27, *, pre-primary, *, *, *, *, *, 9435
17 - 27, *, pre-primary, *, *, *, *, *, 5033
17 - 27, *, pre-primary, *, *, *, *, *, 8595
17 - 27, *, pre-primary, *, *, *, *, *, 9073
17 - 27, *, pre-primary, *, *, *, *, *, 5511
17 - 27, *, pre-primary, *, *, *, *, *, 11103
17 - 27, *, pre-primary, *, *, *, *, *, 11495
17 - 27, *, pre-primary, *, *, *, *, *, 13015
17 - 27, *, pre-primary, *, *, *, *, *, 19843
17 - 27, *, pre-primary, *, *, *, *, *, 9749
17 - 27, *, pre-primary, *, *, *, *, *, 18643
17 - 27, *, pre-primary, *, *, *, *, *, 7799
17 - 27, *, pre-primary, *, *, *, *, *, 19484
17 - 27, *, pre-primary, *, *, *, *, *, 17411
17 - 27, *, pre-primary, *, *, *, *, *, 19376
17 - 27, *, pre-primary, *, *, *, *, *, 10688
17 - 27, *, pre-primary, *, *, *, *, *, 13367
17 - 27, *, pre-primary, *, *, *, *, *, 19762
17 - 27, *, pre-primary, *, *, *, *, *, 18926
17 - 27, *, pre-primary, *, *, *, *, *, 12419
17 - 27, *, pre-primary, *, *, *, *, *, 10863
17 - 27, *, pre-primary, *, *, *, *, *, 11892
