20 - 26, non-government, pre-primary, married, *, *, male, *, 43685
20 - 26, non-government, pre-primary, married, *, *, male, *, 38046
20 - 26, non-government, pre-primary, married, *, *, male, *, 161130
20 - 26, non-government, pre-primary, married, *, *, male, *, 145735
20 - 26, non-government, pre-primary, married, *, *, male, *, 128806
20 - 26, non-government, pre-primary, married, *, *, male, *, 96498
20 - 26, non-government, pre-primary, married, *, *, male, *, 105648
20 - 26, non-government, pre-primary, married, *, *, male, *, 199694
20 - 26, non-government, pre-primary, married, *, *, male, *, 84009
20 - 26, non-government, pre-primary, married, *, *, male, *, 157432
20 - 26, non-government, pre-primary, married, *, *, male, *, 189893
20 - 26, non-government, pre-primary, married, *, *, male, *, 20437
20 - 26, non-government, pre-primary, married, *, *, male, *, 63532
20 - 26, non-government, pre-primary, married, *, *, male, *, 64026
20 - 26, non-government, pre-primary, married, *, *, male, *, 25710
20 - 26, non-government, pre-primary, married, *, *, male, *, 189755
20 - 26, non-government, pre-primary, married, *, *, male, *, 175390
20 - 26, non-government, pre-primary, married, *, *, male, *, 98683
20 - 26, non-government, pre-primary, married, *, *, male, *, 59973
20 - 26, non-government, pre-primary, married, *, *, male, *, 188499
20 - 26, non-government, pre-primary, married, *, *, male, *, 74772
20 - 26, non-government, pre-primary, married, *, *, male, *, 193671
20 - 26, non-government, pre-primary, married, *, *, male, *, 109319
27 - 31, *, pre-primary, married, *, white, male, *, 53417
27 - 31, *, pre-primary, married, *, white, male, *, 102970
27 - 31, *, pre-primary, married, *, white, male, *, 37453
27 - 31, *, pre-primary, married, *, white, male, *, 133128
27 - 31, *, pre-primary, married, *, white, male, *, 109933
27 - 31, *, pre-primary, married, *, white, male, *, 189857
27 - 31, *, pre-primary, married, *, white, male, *, 94184
27 - 31, *, pre-primary, married, *, white, male, *, 71795
27 - 31, *, pre-primary, married, *, white, male, *, 85997
27 - 31, *, pre-primary, married, *, white, male, *, 196501
27 - 31, *, pre-primary, married, *, white, male, *, 159137
27 - 31, *, pre-primary, married, *, white, male, *, 127115
27 - 31, *, pre-primary, married, *, white, male, *, 101153
27 - 31, *, pre-primary, married, *, white, male, *, 24123
27 - 31, *, pre-primary, married, *, white, male, *, 78865
27 - 31, *, pre-primary, married, *, white, male, *, 26608
27 - 31, *, pre-primary, married, *, white, male, *, 68444
27 - 31, *, pre-primary, married, *, white, male, *, 89124
27 - 31, *, pre-primary, married, *, white, male, *, 14314
27 - 31, *, pre-primary, married, *, white, male, *, 179988
32 - 35, non-government, pre-primary, married, *, *, male, *, 137798
32 - 35, non-government, pre-primary, married, *, *, male, *, 172628
32 - 35, non-government, pre-primary, married, *, *, male, *, 105695
32 - 35, non-government, pre-primary, married, *, *, male, *, 139232
32 - 35, non-government, pre-primary, married, *, *, male, *, 115982
32 - 35, non-government, pre-primary, married, *, *, male, *, 197499
32 - 35, non-government, pre-primary, married, *, *, male, *, 169817
32 - 35, non-government, pre-primary, married, *, *, male, *, 195995
32 - 35, non-government, pre-primary, married, *, *, male, *, 44941
32 - 35, non-government, pre-primary, married, *, *, male, *, 28979
32 - 35, non-government, pre-primary, married, *, *, male, *, 43990
32 - 35, non-government, pre-primary, married, *, *, male, *, 101810
32 - 35, non-government, pre-primary, married, *, *, male, *, 190638
32 - 35, non-government, pre-primary, married, *, *, male, *, 155646
32 - 35, non-government, pre-primary, married, *, *, male, *, 113585
32 - 35, non-government, pre-primary, married, *, *, male, *, 40122
32 - 35, non-government, pre-primary, married, *, *, male, *, 52373
32 - 35, non-government, pre-primary, married, *, *, male, *, 188980
32 - 35, non-government, pre-primary, married, *, *, male, *, 77425
32 - 35, non-government, pre-primary, married, *, *, male, *, 90506
32 - 35, non-government, pre-primary, married, *, *, male, *, 177819
32 - 35, non-government, pre-primary, married, *, *, male, *, 60408
36 - 37, *, pre-primary, married, *, *, male, *, 164001
36 - 37, *, pre-primary, married, *, *, male, *, 98991
36 - 37, *, pre-primary, married, *, *, male, *, 107595
36 - 37, *, pre-primary, married, *, *, male, *, 192038
36 - 37, *, pre-primary, married, *, *, male, *, 144320
36 - 37, *, pre-primary, married, *, *, male, *, 105963
36 - 37, *, pre-primary, married, *, *, male, *, 168584
36 - 37, *, pre-primary, married, *, *, male, *, 133899
36 - 37, *, pre-primary, married, *, *, male, *, 74406
36 - 37, *, pre-primary, married, *, *, male, *, 81673
36 - 37, *, pre-primary, married, *, *, male, *, 172618
36 - 37, *, pre-primary, married, *, *, male, *, 55585
36 - 37, *, pre-primary, married, *, *, male, *, 89815
36 - 37, *, pre-primary, married, *, *, male, *, 146867
36 - 37, *, pre-primary, married, *, *, male, *, 122883
36 - 37, *, pre-primary, married, *, *, male, *, 142542
36 - 37, *, pre-primary, married, *, *, male, *, 144943
36 - 37, *, pre-primary, married, *, *, male, *, 46832
22 - 37, *, pre-primary, married, *, *, female, *, 84425
22 - 37, *, pre-primary, married, *, *, female, *, 98163
22 - 37, *, pre-primary, married, *, *, female, *, 96518
22 - 37, *, pre-primary, married, *, *, female, *, 103437
22 - 37, *, pre-primary, married, *, *, female, *, 149877
22 - 37, *, pre-primary, married, *, *, female, *, 155375
22 - 37, *, pre-primary, married, *, *, female, *, 115259
22 - 37, *, pre-primary, married, *, *, female, *, 153698
22 - 37, *, pre-primary, married, *, *, female, *, 19623
22 - 37, *, pre-primary, married, *, *, female, *, 174717
22 - 37, *, pre-primary, married, *, *, female, *, 88178
22 - 37, *, pre-primary, married, *, *, female, *, 120701
22 - 37, *, pre-primary, married, *, *, female, *, 155198
22 - 37, *, pre-primary, married, *, *, female, *, 86665
22 - 37, *, pre-primary, married, *, *, female, *, 93550
22 - 37, *, pre-primary, married, *, *, female, *, 82759
17 - 22, *, pre-primary, never-married, *, white, male, *, 165942
17 - 22, *, pre-primary, never-married, *, white, male, *, 124718
17 - 22, *, pre-primary, never-married, *, white, male, *, 83798
17 - 22, *, pre-primary, never-married, *, white, male, *, 115148
17 - 22, *, pre-primary, never-married, *, white, male, *, 18585
17 - 22, *, pre-primary, never-married, *, white, male, *, 53555
17 - 22, *, pre-primary, never-married, *, white, male, *, 18660
17 - 22, *, pre-primary, never-married, *, white, male, *, 43964
17 - 22, *, pre-primary, never-married, *, white, male, *, 88888
17 - 22, *, pre-primary, never-married, *, white, male, *, 136712
17 - 22, *, pre-primary, never-married, *, white, male, *, 28205
17 - 22, *, pre-primary, never-married, *, white, male, *, 96703
17 - 22, *, pre-primary, never-married, *, white, male, *, 114899
17 - 22, *, pre-primary, never-married, *, white, male, *, 115972
17 - 22, *, pre-primary, never-married, *, white, male, *, 71359
17 - 22, *, pre-primary, never-married, *, white, male, *, 181523
17 - 22, *, pre-primary, never-married, *, white, male, *, 90847
17 - 22, *, pre-primary, never-married, *, white, male, *, 106125
17 - 22, *, pre-primary, never-married, *, white, male, *, 187634
17 - 22, *, pre-primary, never-married, *, white, male, *, 149869
17 - 22, *, pre-primary, never-married, *, white, male, *, 138801
17 - 22, *, pre-primary, never-married, *, white, male, *, 118071
17 - 22, *, pre-primary, never-married, *, white, male, *, 114413
17 - 22, *, pre-primary, never-married, *, white, male, *, 135271
17 - 22, *, pre-primary, never-married, *, white, male, *, 134851
17 - 22, *, pre-primary, never-married, *, white, male, *, 174045
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 50366
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 134950
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 64411
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 141466
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 131076
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 139596
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 36286
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 98165
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 178246
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 171125
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 145791
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 114104
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 44551
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 53238
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 75130
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 135885
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 174156
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 59772
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 139435
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 143026
26 - 29, *, pre-primary, never-married, *, *, male, *, 172876
26 - 29, *, pre-primary, never-married, *, *, male, *, 56261
26 - 29, *, pre-primary, never-married, *, *, male, *, 114764
26 - 29, *, pre-primary, never-married, *, *, male, *, 138078
26 - 29, *, pre-primary, never-married, *, *, male, *, 181523
