22 - 35, government, 5th-6th, never-married, manual-labour, white, male, north-america, 18585
22 - 35, government, 5th-6th, never-married, manual-labour, white, male, north-america, 121141
22 - 35, government, 5th-6th, never-married, manual-labour, white, male, north-america, 143026
31 - 36, state-gov, pre-primary, *, other-service, white, male, north-america, 142542
31 - 36, state-gov, pre-primary, *, other-service, white, male, north-america, 178085
32 - 34, government, pre-primary, never-married, *, *, female, north-america, 53017
32 - 34, government, pre-primary, never-married, *, *, female, north-america, 21368
32 - 34, government, pre-primary, never-married, *, *, female, north-america, 191855
28 - 35, government, pre-high-school, married, manual-labour, black, male, north-america, 197342
28 - 35, government, pre-high-school, married, manual-labour, black, male, north-america, 170359
28 - 35, government, pre-high-school, married, manual-labour, black, male, north-america, 61304
30 - 34, federal-gov, pre-high-school, married-civ-spouse, *, white, male, united-states, 55017
30 - 34, federal-gov, pre-high-school, married-civ-spouse, *, white, male, united-states, 11964
27, local-gov, pre-high-school, married-civ-spouse, craft-repair, white, male, north-america, 70696
27, local-gov, pre-high-school, married-civ-spouse, craft-repair, white, male, north-america, 118924
30 - 36, local-gov, pre-high-school, married-civ-spouse, craft-repair, white, male, united-states, 126487
30 - 36, local-gov, pre-high-school, married-civ-spouse, craft-repair, white, male, united-states, 159437
23 - 30, local-gov, pre-high-school, married-civ-spouse, unskilled, white, male, united-states, 56884
23 - 30, local-gov, pre-high-school, married-civ-spouse, unskilled, white, male, united-states, 119600
31 - 33, local-gov, pre-high-school, married-civ-spouse, unskilled, white, male, united-states, 148231
31 - 33, local-gov, pre-high-school, married-civ-spouse, unskilled, white, male, united-states, 143705
26 - 32, local-gov, pre-high-school, married-civ-spouse, other-service, white, male, united-states, 62043
26 - 32, local-gov, pre-high-school, married-civ-spouse, other-service, white, male, united-states, 120269
30, state-gov, pre-high-school, married-civ-spouse, *, white, male, united-states, 164754
30, state-gov, pre-high-school, married-civ-spouse, *, white, male, united-states, 176088
32 - 33, state-gov, pre-high-school, married-civ-spouse, *, white, male, united-states, 91506
32 - 33, state-gov, pre-high-school, married-civ-spouse, *, white, male, united-states, 113519
32 - 33, state-gov, pre-high-school, married-civ-spouse, *, white, male, united-states, 76572
28 - 31, government, pre-high-school, married, customer-service, *, female, *, 100455
28 - 31, government, pre-high-school, married, customer-service, *, female, *, 77275
28 - 31, government, pre-high-school, married, customer-service, *, female, *, 94428
28 - 31, government, pre-high-school, married-civ-spouse, other-service, *, female, united-states, 140552
28 - 31, government, pre-high-school, married-civ-spouse, other-service, *, female, united-states, 24119
19 - 24, government, pre-high-school, never-married, manual-labour, black, *, north-america, 127497
19 - 24, government, pre-high-school, never-married, manual-labour, black, *, north-america, 39611
19 - 24, government, pre-high-school, never-married, manual-labour, black, *, north-america, 61094
17 - 18, government, 11th, never-married, skilled, white, male, united-states, 39958
17 - 18, government, 11th, never-married, skilled, white, male, united-states, 186019
17 - 18, government, pre-high-school, never-married, farming-fishing, white, male, united-states, 143274
17 - 18, government, pre-high-school, never-married, farming-fishing, white, male, united-states, 55424
22 - 33, local-gov, pre-high-school, not-married, unskilled, white, male, united-states, 199806
22 - 33, local-gov, pre-high-school, not-married, unskilled, white, male, united-states, 59344
22 - 33, local-gov, pre-high-school, not-married, unskilled, white, male, united-states, 62815
17 - 18, local-gov, pre-high-school, never-married, prof-specialty, *, male, united-states, 185260
17 - 18, local-gov, pre-high-school, never-married, prof-specialty, *, male, united-states, 81460
22 - 23, state-gov, 12th, never-married, exec-managerial, white, male, united-states, 14051
22 - 23, state-gov, 12th, never-married, exec-managerial, white, male, united-states, 189734
17, local-gov, 11th, never-married, prof-specialty, white, female, north-america, 189429
17, local-gov, 11th, never-married, prof-specialty, white, female, north-america, 32636
17 - 34, government, pre-high-school, never-married, adm-clerical, black, *, united-states, 196330
17 - 34, government, pre-high-school, never-married, adm-clerical, black, *, united-states, 105801
17 - 34, government, pre-high-school, never-married, adm-clerical, black, *, united-states, 72557
17 - 18, local-gov, 11th, never-married, customer-service, white, male, united-states, 50754
17 - 18, local-gov, 11th, never-married, customer-service, white, male, united-states, 89290
17, local-gov, pre-high-school, never-married, adm-clerical, white, female, united-states, 162134
17, local-gov, pre-high-school, never-married, adm-clerical, white, female, united-states, 192303
17, local-gov, pre-high-school, never-married, adm-clerical, white, female, united-states, 80245
18, local-gov, pre-high-school, never-married, customer-service, white, female, central-north-america, 88004
18 - 32, state-gov, pre-high-school, never-married, customer-service, white, female, united-states, 184217
18 - 32, state-gov, pre-high-school, never-married, customer-service, white, female, united-states, 18975
18 - 32, state-gov, pre-high-school, never-married, customer-service, white, female, united-states, 125472
17 - 18, local-gov, pre-high-school, never-married, protective-serv, white, male, united-states, 102253
17 - 18, local-gov, pre-high-school, never-married, protective-serv, white, male, united-states, 79992
17 - 18, local-gov, pre-high-school, never-married, protective-serv, white, male, united-states, 122176
17 - 18, local-gov, 10th, never-married, protective-serv, white, female, united-states, 118986
17 - 18, local-gov, 10th, never-married, protective-serv, white, female, united-states, 80653
18 - 24, government, 11th, never-married, other-service, asian-pac-islander, male, *, 158776
18 - 24, government, 11th, never-married, other-service, asian-pac-islander, male, *, 110662
17 - 21, local-gov, pre-high-school, never-married, other-service, black, male, united-states, 14698
17 - 21, local-gov, pre-high-school, never-married, other-service, black, male, united-states, 13078
29, government, pre-high-school, not-married, other-service, black, female, united-states, 109981
29, government, pre-high-school, not-married, other-service, black, female, united-states, 102076
17 - 34, local-gov, 9th, never-married, other-service, white, male, united-states, 138521
17 - 34, local-gov, 9th, never-married, other-service, white, male, united-states, 61246
18 - 24, local-gov, 10th, never-married, other-service, white, male, united-states, 192964
18 - 24, local-gov, 10th, never-married, other-service, white, male, united-states, 75424
17 - 18, state-gov, pre-high-school, never-married, other-service, white, male, united-states, 92107
17 - 18, state-gov, pre-high-school, never-married, other-service, white, male, united-states, 139155
17 - 18, state-gov, pre-high-school, never-married, other-service, white, male, united-states, 187064
19, state-gov, pre-high-school, never-married, other-service, white, male, central-north-america, 131533
17, local-gov, pre-high-school, never-married, other-service, white, female, united-states, 33086
17, local-gov, pre-high-school, never-married, other-service, white, female, united-states, 116760
19 - 36, government, pre-high-school, not-married, other-service, white, female, united-states, 25426
19 - 36, government, pre-high-school, not-married, other-service, white, female, united-states, 87275
19 - 36, government, pre-high-school, not-married, other-service, white, female, united-states, 21186
32 - 34, federal-gov, pre-university, married, machine-op-inspct, black, male, united-states, 117109
32 - 34, federal-gov, pre-university, married, machine-op-inspct, black, male, united-states, 71515
33 - 37, federal-gov, hs-grad, married-civ-spouse, craft-repair, white, male, united-states, 172410
33 - 37, federal-gov, hs-grad, married-civ-spouse, craft-repair, white, male, united-states, 136317
27 - 37, federal-gov, some-college, married-civ-spouse, skilled, white, male, united-states, 52030
27 - 37, federal-gov, some-college, married-civ-spouse, skilled, white, male, united-states, 22912
27 - 37, federal-gov, some-college, married-civ-spouse, skilled, white, male, united-states, 106504
27 - 37, federal-gov, some-college, married-civ-spouse, skilled, white, male, united-states, 142255
25 - 27, local-gov, hs-grad, married-civ-spouse, skilled, white, male, united-states, 69833
25 - 27, local-gov, hs-grad, married-civ-spouse, skilled, white, male, united-states, 190552
25 - 27, local-gov, hs-grad, married-civ-spouse, skilled, white, male, united-states, 110881
28, local-gov, hs-grad, married-civ-spouse, craft-repair, white, male, united-states, 146261
28, local-gov, hs-grad, married-civ-spouse, craft-repair, white, male, united-states, 94204
28, local-gov, hs-grad, married-civ-spouse, craft-repair, white, male, united-states, 115556
30 - 31, local-gov, hs-grad, married-civ-spouse, craft-repair, white, male, united-states, 50767
30 - 31, local-gov, hs-grad, married-civ-spouse, craft-repair, white, male, united-states, 167099
30 - 31, local-gov, hs-grad, married-civ-spouse, craft-repair, white, male, united-states, 171866
32, local-gov, hs-grad, married-civ-spouse, craft-repair, white, male, united-states, 22647
32, local-gov, hs-grad, married-civ-spouse, craft-repair, white, male, united-states, 166688
32, local-gov, hs-grad, married-civ-spouse, craft-repair, white, male, united-states, 138299
30 - 32, local-gov, some-college, married-civ-spouse, craft-repair, white, male, united-states, 18507
30 - 32, local-gov, some-college, married-civ-spouse, craft-repair, white, male, united-states, 68812
33 - 34, local-gov, hs-grad, married-civ-spouse, craft-repair, white, male, united-states, 162322
33 - 34, local-gov, hs-grad, married-civ-spouse, craft-repair, white, male, united-states, 106822
35, local-gov, hs-grad, married-civ-spouse, craft-repair, white, male, north-america, 34381
35, local-gov, hs-grad, married-civ-spouse, craft-repair, white, male, north-america, 161067
35, local-gov, hs-grad, married-civ-spouse, craft-repair, white, male, north-america, 191854
37, local-gov, hs-grad, married-civ-spouse, craft-repair, white, male, north-america, 14341
34 - 35, local-gov, some-college, married-civ-spouse, craft-repair, white, male, united-states, 191810
34 - 35, local-gov, some-college, married-civ-spouse, craft-repair, white, male, united-states, 81798
34 - 35, local-gov, some-college, married-civ-spouse, craft-repair, white, male, united-states, 64321
36 - 37, local-gov, some-college, married-civ-spouse, craft-repair, white, male, united-states, 95061
36 - 37, local-gov, some-college, married-civ-spouse, craft-repair, white, male, united-states, 167956
36 - 37, local-gov, some-college, married-civ-spouse, craft-repair, white, male, united-states, 76901
29 - 32, state-gov, hs-grad, married-civ-spouse, craft-repair, white, male, united-states, 99904
29 - 32, state-gov, hs-grad, married-civ-spouse, craft-repair, white, male, united-states, 35326
33, state-gov, hs-grad, married-civ-spouse, craft-repair, white, male, united-states, 151017
33, state-gov, hs-grad, married-civ-spouse, craft-repair, white, male, united-states, 155599
31 - 33, state-gov, some-college, married-civ-spouse, skilled, white, male, united-states, 85123
31 - 33, state-gov, some-college, married-civ-spouse, skilled, white, male, united-states, 185345
31 - 33, state-gov, some-college, married-civ-spouse, skilled, white, male, united-states, 101135
35, state-gov, hs-grad, married-civ-spouse, craft-repair, white, male, united-states, 82506
35, state-gov, hs-grad, married-civ-spouse, craft-repair, white, male, united-states, 13781
35, state-gov, hs-grad, married-civ-spouse, craft-repair, white, male, united-states, 45874
35, state-gov, hs-grad, married-civ-spouse, craft-repair, white, male, united-states, 132524
35, state-gov, hs-grad, married-civ-spouse, craft-repair, white, male, united-states, 37447
37, state-gov, pre-university, married, skilled, white, male, united-states, 185374
37, state-gov, pre-university, married, skilled, white, male, united-states, 111502
37, state-gov, pre-university, married, skilled, white, male, united-states, 63670
27 - 36, federal-gov, pre-university, married-civ-spouse, unskilled, *, male, united-states, 73689
27 - 36, federal-gov, pre-university, married-civ-spouse, unskilled, *, male, united-states, 57292
27 - 36, federal-gov, pre-university, married-civ-spouse, unskilled, *, male, united-states, 146580
29 - 31, local-gov, pre-university, married, unskilled, black, male, united-states, 84377
29 - 31, local-gov, pre-university, married, unskilled, black, male, united-states, 159615
29 - 31, local-gov, pre-university, married, unskilled, black, male, united-states, 64627
27, local-gov, hs-grad, married-civ-spouse, handlers-cleaners, white, male, united-states, 87789
27, local-gov, hs-grad, married-civ-spouse, handlers-cleaners, white, male, united-states, 163138
28 - 30, local-gov, hs-grad, married-civ-spouse, handlers-cleaners, white, male, united-states, 114017
28 - 30, local-gov, hs-grad, married-civ-spouse, handlers-cleaners, white, male, united-states, 15664
27 - 28, local-gov, hs-grad, married, transport-moving, white, male, united-states, 124658
27 - 28, local-gov, hs-grad, married, transport-moving, white, male, united-states, 10129
25 - 29, local-gov, some-college, married-civ-spouse, unskilled, white, male, united-states, 54759
25 - 29, local-gov, some-college, married-civ-spouse, unskilled, white, male, united-states, 105025
32, local-gov, hs-grad, married-civ-spouse, transport-moving, white, male, united-states, 37585
32, local-gov, hs-grad, married-civ-spouse, transport-moving, white, male, united-states, 107421
34 - 36, local-gov, hs-grad, married-civ-spouse, transport-moving, white, male, united-states, 175739
34 - 36, local-gov, hs-grad, married-civ-spouse, transport-moving, white, male, united-states, 105312
34 - 36, local-gov, hs-grad, married-civ-spouse, transport-moving, white, male, united-states, 115757
32 - 34, local-gov, some-college, married-civ-spouse, transport-moving, white, male, united-states, 190813
32 - 34, local-gov, some-college, married-civ-spouse, transport-moving, white, male, united-states, 170543
37, local-gov, some-college, married-civ-spouse, transport-moving, white, male, united-states, 80264
37, local-gov, some-college, married-civ-spouse, transport-moving, white, male, united-states, 155809
24 - 31, state-gov, pre-university, married-civ-spouse, unskilled, white, male, united-states, 20370
24 - 31, state-gov, pre-university, married-civ-spouse, unskilled, white, male, united-states, 17091
24 - 31, state-gov, pre-university, married-civ-spouse, unskilled, white, male, united-states, 180744
32 - 34, state-gov, pre-university, married, unskilled, *, male, united-states, 92561
32 - 34, state-gov, pre-university, married, unskilled, *, male, united-states, 109038
32 - 34, state-gov, pre-university, married, unskilled, *, male, united-states, 183789
33 - 37, local-gov, pre-university, married-civ-spouse, manual-labour, white, male, ?, 177150
33 - 37, local-gov, pre-university, married-civ-spouse, manual-labour, white, male, ?, 196033
32 - 36, local-gov, pre-university, married-civ-spouse, transport-moving, white, female, united-states, 184470
32 - 36, local-gov, pre-university, married-civ-spouse, transport-moving, white, female, united-states, 143331
28 - 31, government, hs-grad, separated, unskilled, white, female, united-states, 152822
28 - 31, government, hs-grad, separated, unskilled, white, female, united-states, 108483
27 - 34, state-gov, some-college, married-civ-spouse, professional, black, male, united-states, 67511
27 - 34, state-gov, some-college, married-civ-spouse, professional, black, male, united-states, 121499
23 - 36, local-gov, pre-university, separated, exec-managerial, black, male, united-states, 82476
23 - 36, local-gov, pre-university, separated, exec-managerial, black, male, united-states, 175535
27 - 33, federal-gov, pre-university, married, exec-managerial, black, female, united-states, 96343
27 - 33, federal-gov, pre-university, married, exec-managerial, black, female, united-states, 117083
27 - 33, federal-gov, pre-university, married, exec-managerial, black, female, united-states, 79379
30 - 32, state-gov, some-college, married-civ-spouse, prof-specialty, black, female, united-states, 118322
30 - 32, state-gov, some-college, married-civ-spouse, prof-specialty, black, female, united-states, 120239
