20 - 26, *, pre-primary, married, *, *, *, *, 43685
20 - 26, *, pre-primary, married, *, *, *, *, 38046
20 - 26, *, pre-primary, married, *, *, *, *, 149877
20 - 26, *, pre-primary, married, *, *, *, *, 161130
20 - 26, *, pre-primary, married, *, *, *, *, 145735
20 - 26, *, pre-primary, married, *, *, *, *, 128806
20 - 26, *, pre-primary, married, *, *, *, *, 96498
20 - 26, *, pre-primary, married, *, *, *, *, 105648
20 - 26, *, pre-primary, married, *, *, *, *, 199694
20 - 26, *, pre-primary, married, *, *, *, *, 84009
20 - 26, *, pre-primary, married, *, *, *, *, 157432
20 - 26, *, pre-primary, married, *, *, *, *, 189893
20 - 26, *, pre-primary, married, *, *, *, *, 20437
20 - 26, *, pre-primary, married, *, *, *, *, 63532
20 - 26, *, pre-primary, married, *, *, *, *, 64026
20 - 26, *, pre-primary, married, *, *, *, *, 115259
20 - 26, *, pre-primary, married, *, *, *, *, 25710
20 - 26, *, pre-primary, married, *, *, *, *, 189755
20 - 26, *, pre-primary, married, *, *, *, *, 153698
20 - 26, *, pre-primary, married, *, *, *, *, 175390
20 - 26, *, pre-primary, married, *, *, *, *, 98683
20 - 26, *, pre-primary, married, *, *, *, *, 59973
20 - 26, *, pre-primary, married, *, *, *, *, 188499
20 - 26, *, pre-primary, married, *, *, *, *, 74772
20 - 26, *, pre-primary, married, *, *, *, *, 193671
20 - 26, *, pre-primary, married, *, *, *, *, 109319
20 - 26, *, pre-primary, married, *, *, *, *, 82759
27 - 31, *, pre-primary, married, *, *, *, *, 53417
27 - 31, *, pre-primary, married, *, *, *, *, 102970
27 - 31, *, pre-primary, married, *, *, *, *, 98163
27 - 31, *, pre-primary, married, *, *, *, *, 37453
27 - 31, *, pre-primary, married, *, *, *, *, 133128
27 - 31, *, pre-primary, married, *, *, *, *, 155375
27 - 31, *, pre-primary, married, *, *, *, *, 109933
27 - 31, *, pre-primary, married, *, *, *, *, 189857
27 - 31, *, pre-primary, married, *, *, *, *, 94184
27 - 31, *, pre-primary, married, *, *, *, *, 71795
27 - 31, *, pre-primary, married, *, *, *, *, 85997
27 - 31, *, pre-primary, married, *, *, *, *, 196501
27 - 31, *, pre-primary, married, *, *, *, *, 159137
27 - 31, *, pre-primary, married, *, *, *, *, 127115
27 - 31, *, pre-primary, married, *, *, *, *, 101153
27 - 31, *, pre-primary, married, *, *, *, *, 24123
27 - 31, *, pre-primary, married, *, *, *, *, 78865
27 - 31, *, pre-primary, married, *, *, *, *, 26608
27 - 31, *, pre-primary, married, *, *, *, *, 68444
27 - 31, *, pre-primary, married, *, *, *, *, 89124
27 - 31, *, pre-primary, married, *, *, *, *, 14314
27 - 31, *, pre-primary, married, *, *, *, *, 155198
27 - 31, *, pre-primary, married, *, *, *, *, 179988
32 - 35, non-government, pre-primary, married, *, *, *, *, 137798
32 - 35, non-government, pre-primary, married, *, *, *, *, 84425
32 - 35, non-government, pre-primary, married, *, *, *, *, 172628
32 - 35, non-government, pre-primary, married, *, *, *, *, 105695
32 - 35, non-government, pre-primary, married, *, *, *, *, 139232
32 - 35, non-government, pre-primary, married, *, *, *, *, 96518
32 - 35, non-government, pre-primary, married, *, *, *, *, 103437
32 - 35, non-government, pre-primary, married, *, *, *, *, 115982
32 - 35, non-government, pre-primary, married, *, *, *, *, 197499
32 - 35, non-government, pre-primary, married, *, *, *, *, 169817
32 - 35, non-government, pre-primary, married, *, *, *, *, 195995
32 - 35, non-government, pre-primary, married, *, *, *, *, 44941
32 - 35, non-government, pre-primary, married, *, *, *, *, 28979
32 - 35, non-government, pre-primary, married, *, *, *, *, 43990
32 - 35, non-government, pre-primary, married, *, *, *, *, 101810
32 - 35, non-government, pre-primary, married, *, *, *, *, 190638
32 - 35, non-government, pre-primary, married, *, *, *, *, 155646
32 - 35, non-government, pre-primary, married, *, *, *, *, 113585
32 - 35, non-government, pre-primary, married, *, *, *, *, 40122
32 - 35, non-government, pre-primary, married, *, *, *, *, 52373
32 - 35, non-government, pre-primary, married, *, *, *, *, 188980
32 - 35, non-government, pre-primary, married, *, *, *, *, 19623
32 - 35, non-government, pre-primary, married, *, *, *, *, 77425
32 - 35, non-government, pre-primary, married, *, *, *, *, 88178
32 - 35, non-government, pre-primary, married, *, *, *, *, 90506
32 - 35, non-government, pre-primary, married, *, *, *, *, 177819
32 - 35, non-government, pre-primary, married, *, *, *, *, 60408
36 - 37, *, pre-primary, married, *, *, *, *, 164001
36 - 37, *, pre-primary, married, *, *, *, *, 98991
36 - 37, *, pre-primary, married, *, *, *, *, 107595
36 - 37, *, pre-primary, married, *, *, *, *, 192038
36 - 37, *, pre-primary, married, *, *, *, *, 144320
36 - 37, *, pre-primary, married, *, *, *, *, 105963
36 - 37, *, pre-primary, married, *, *, *, *, 168584
36 - 37, *, pre-primary, married, *, *, *, *, 133899
36 - 37, *, pre-primary, married, *, *, *, *, 74406
36 - 37, *, pre-primary, married, *, *, *, *, 81673
36 - 37, *, pre-primary, married, *, *, *, *, 172618
36 - 37, *, pre-primary, married, *, *, *, *, 55585
36 - 37, *, pre-primary, married, *, *, *, *, 89815
36 - 37, *, pre-primary, married, *, *, *, *, 146867
36 - 37, *, pre-primary, married, *, *, *, *, 122883
36 - 37, *, pre-primary, married, *, *, *, *, 174717
