22 - 36, government, pre-primary, *, *, *, *, north-america, 10075
22 - 36, government, pre-primary, *, *, *, *, north-america, 9254
22 - 36, government, pre-primary, *, *, *, *, north-america, 15763
22 - 36, government, pre-primary, *, *, *, *, north-america, 12256
22 - 36, government, pre-primary, *, *, *, *, north-america, 14656
22 - 36, government, pre-primary, *, *, *, *, north-america, 13260
22 - 36, government, pre-primary, *, *, *, *, north-america, 18137
22 - 36, government, pre-primary, *, *, *, *, north-america, 12419
23 - 28, local-gov, pre-high-school, married-civ-spouse, *, *, male, north-america, 56149
23 - 28, local-gov, pre-high-school, married-civ-spouse, *, *, male, north-america, 57993
23 - 28, local-gov, pre-high-school, married-civ-spouse, *, *, male, north-america, 40753
23 - 28, local-gov, pre-high-school, married-civ-spouse, *, *, male, north-america, 31881
23 - 28, local-gov, pre-high-school, married-civ-spouse, *, *, male, north-america, 59817
30, government, pre-high-school, married-civ-spouse, *, white, male, united-states, 67208
30, government, pre-high-school, married-civ-spouse, *, white, male, united-states, 37411
30, government, pre-high-school, married-civ-spouse, *, white, male, united-states, 31152
30, government, pre-high-school, married-civ-spouse, *, white, male, united-states, 12195
30, government, pre-high-school, married-civ-spouse, *, white, male, united-states, 48436
31 - 33, government, pre-high-school, married-civ-spouse, *, white, male, united-states, 40138
31 - 33, government, pre-high-school, married-civ-spouse, *, white, male, united-states, 21266
31 - 33, government, pre-high-school, married-civ-spouse, *, white, male, united-states, 50369
31 - 33, government, pre-high-school, married-civ-spouse, *, white, male, united-states, 24811
31 - 33, government, pre-high-school, married-civ-spouse, *, white, male, united-states, 69472
31 - 33, government, pre-high-school, married-civ-spouse, *, white, male, united-states, 48295
34 - 36, government, pre-high-school, married, *, *, male, central-north-america, 74969
34 - 36, government, pre-high-school, married, *, *, male, central-north-america, 61966
34 - 36, government, pre-high-school, married, *, *, male, central-north-america, 31091
34 - 36, government, pre-high-school, married, *, *, male, central-north-america, 51223
28 - 31, government, pre-high-school, married, *, *, female, *, 70668
28 - 31, government, pre-high-school, married, *, *, female, *, 60438
28 - 31, government, pre-high-school, married, *, *, female, *, 62806
28 - 31, government, pre-high-school, married, *, *, female, *, 35808
28 - 31, government, pre-high-school, married, *, *, female, *, 71492
17 - 19, government, pre-high-school, never-married, manual-labour, *, male, united-states, 66509
17 - 19, government, pre-high-school, never-married, manual-labour, *, male, united-states, 44772
17 - 19, government, pre-high-school, never-married, manual-labour, *, male, united-states, 25111
17 - 19, government, pre-high-school, never-married, manual-labour, *, male, united-states, 66292
17 - 19, government, pre-high-school, never-married, manual-labour, *, male, united-states, 55943
21 - 33, local-gov, pre-high-school, not-married, manual-labour, *, *, north-america, 36467
21 - 33, local-gov, pre-high-school, not-married, manual-labour, *, *, north-america, 89762
21 - 33, local-gov, pre-high-school, not-married, manual-labour, *, *, north-america, 36324
21 - 33, local-gov, pre-high-school, not-married, manual-labour, *, *, north-america, 42395
21 - 33, local-gov, pre-high-school, not-married, manual-labour, *, *, north-america, 41473
17 - 23, government, pre-high-school, never-married, professional, *, *, north-america, 67277
17 - 23, government, pre-high-school, never-married, professional, *, *, north-america, 59739
17 - 23, government, pre-high-school, never-married, professional, *, *, north-america, 61256
17 - 23, government, pre-high-school, never-married, professional, *, *, north-america, 67941
17 - 23, government, pre-high-school, never-married, professional, *, *, north-america, 49626
17 - 23, government, pre-high-school, never-married, professional, *, *, north-america, 72159
17 - 18, government, pre-high-school, never-married, customer-service, *, *, united-states, 58530
17 - 18, government, pre-high-school, never-married, customer-service, *, *, united-states, 58224
17 - 18, government, pre-high-school, never-married, customer-service, *, *, united-states, 37550
