17 - 25, *, *, married, *, *, male, *, 76623
17 - 25, *, *, married, *, *, male, *, 53576
17 - 25, *, *, married, *, *, male, *, 41769
17 - 25, *, *, married, *, *, male, *, 96601
17 - 25, *, *, married, *, *, male, *, 107849
17 - 25, *, *, married, *, *, male, *, 37464
17 - 25, *, *, married, *, *, male, *, 93114
17 - 25, *, *, married, *, *, male, *, 45803
17 - 25, *, *, married, *, *, male, *, 41750
17 - 25, *, *, married, *, *, male, *, 64178
17 - 25, *, *, married, *, *, male, *, 72670
17 - 25, *, *, married, *, *, male, *, 38701
17 - 25, *, *, married, *, *, male, *, 84828
17 - 25, *, *, married, *, *, male, *, 9363
17 - 25, *, *, married, *, *, male, *, 84456
17 - 25, *, *, married, *, *, male, *, 104248
17 - 25, *, *, married, *, *, male, *, 12352
17 - 25, *, *, married, *, *, male, *, 59934
17 - 25, *, *, married, *, *, male, *, 89872
17 - 25, *, *, married, *, *, male, *, 37571
17 - 25, *, *, married, *, *, male, *, 39440
17 - 25, *, *, married, *, *, male, *, 107741
17 - 25, *, *, married, *, *, male, *, 96968
17 - 25, *, *, married, *, *, male, *, 65501
17 - 25, *, *, married, *, *, male, *, 53700
17 - 25, *, *, married, *, *, male, *, 60301
17 - 25, *, *, married, *, *, male, *, 33716
17 - 25, *, *, married, *, *, male, *, 58013
17 - 25, *, *, married, *, *, male, *, 13619
17 - 25, *, *, married, *, *, male, *, 15186
17 - 25, *, *, married, *, *, male, *, 15382
17 - 25, *, *, married, *, *, male, *, 49156
17 - 25, *, *, married, *, *, male, *, 90706
17 - 25, *, *, married, *, *, male, *, 47259
17 - 25, *, *, married, *, *, male, *, 13546
17 - 25, *, *, married, *, *, male, *, 12004
17 - 25, *, *, married, *, *, male, *, 54781
17 - 25, *, *, married, *, *, male, *, 6255
17 - 25, *, *, married, *, *, male, *, 73059
17 - 25, *, *, married, *, *, male, *, 77789
17 - 25, *, *, married, *, *, male, *, 16125
17 - 25, *, *, married, *, *, male, *, 48513
17 - 25, *, *, married, *, *, male, *, 7979
17 - 25, *, *, married, *, *, male, *, 79272
17 - 25, *, *, married, *, *, male, *, 42604
17 - 25, *, *, married, *, *, male, *, 11443
17 - 25, *, *, married, *, *, male, *, 28491
17 - 25, *, *, married, *, *, male, *, 72471
17 - 25, *, *, married, *, *, male, *, 9156
17 - 25, *, *, married, *, *, male, *, 35283
17 - 25, *, *, married, *, *, male, *, 63687
17 - 25, *, *, married, *, *, male, *, 86851
17 - 25, *, *, married, *, *, male, *, 34954
17 - 25, *, *, married, *, *, male, *, 79183
17 - 25, *, *, married, *, *, male, *, 24880
17 - 25, *, *, married, *, *, male, *, 130557
17 - 25, *, *, married, *, *, male, *, 10337
17 - 25, *, *, married, *, *, male, *, 6578
