39,  State-gov,  Bachelors,  Never-married,  Adm-clerical,  White,  Male,  United-States, 92579
50,  Self-emp-not-inc,  Bachelors,  Married-civ-spouse,  Exec-managerial,  White,  Male,  United-States, 111423
38,  Private,  HS-grad,  Divorced,  Handlers-cleaners,  White,  Male,  United-States, 16534
53,  Private,  11th,  Married-civ-spouse,  Handlers-cleaners,  Black,  Male,  United-States, 68898
28,  Private,  Bachelors,  Married-civ-spouse,  Prof-specialty,  Black,  Female,  Cuba, 135372
37,  Private,  Masters,  Married-civ-spouse,  Exec-managerial,  White,  Female,  United-States, 42743
49,  Private,  9th,  Married-spouse-absent,  Other-service,  Black,  Female,  Jamaica, 62604
52,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Exec-managerial,  White,  Male,  United-States, 123481
31,  Private,  Masters,  Never-married,  Prof-specialty,  White,  Female,  United-States, 60337
42,  Private,  Bachelors,  Married-civ-spouse,  Exec-managerial,  White,  Male,  United-States, 34475
37,  Private,  Some-college,  Married-civ-spouse,  Exec-managerial,  Black,  Male,  United-States, 79130
30,  State-gov,  Bachelors,  Married-civ-spouse,  Prof-specialty,  Asian-Pac-Islander,  Male,  India, 115890
23,  Private,  Bachelors,  Never-married,  Adm-clerical,  White,  Female,  United-States, 93397
32,  Private,  Assoc-acdm,  Never-married,  Sales,  Black,  Male,  United-States, 17095
40,  Private,  Assoc-voc,  Married-civ-spouse,  Craft-repair,  Asian-Pac-Islander,  Male,  ?, 48645
34,  Private,  7th-8th,  Married-civ-spouse,  Transport-moving,  Amer-Indian-Eskimo,  Male,  Mexico, 184521
25,  Self-emp-not-inc,  HS-grad,  Never-married,  Farming-fishing,  White,  Male,  United-States, 139948
32,  Private,  HS-grad,  Never-married,  Machine-op-inspct,  White,  Male,  United-States, 46503
38,  Private,  11th,  Married-civ-spouse,  Sales,  White,  Male,  United-States, 18734
43,  Self-emp-not-inc,  Masters,  Divorced,  Exec-managerial,  White,  Female,  United-States, 99164
40,  Private,  Doctorate,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 143633
54,  Private,  HS-grad,  Separated,  Other-service,  Black,  Female,  United-States, 144372
35,  Federal-gov,  9th,  Married-civ-spouse,  Farming-fishing,  Black,  Male,  United-States, 170359
43,  Private,  11th,  Married-civ-spouse,  Transport-moving,  White,  Male,  United-States, 33997
59,  Private,  HS-grad,  Divorced,  Tech-support,  White,  Female,  United-States, 148641
56,  Local-gov,  Bachelors,  Married-civ-spouse,  Tech-support,  White,  Male,  United-States, 98495
19,  Private,  HS-grad,  Never-married,  Craft-repair,  White,  Male,  United-States, 81163
54,  ?,  Some-college,  Married-civ-spouse,  ?,  Asian-Pac-Islander,  Male,  South, 50678
39,  Private,  HS-grad,  Divorced,  Exec-managerial,  White,  Male,  United-States, 193901
49,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 22577
23,  Local-gov,  Assoc-acdm,  Never-married,  Protective-serv,  White,  Male,  United-States, 42583
20,  Private,  Some-college,  Never-married,  Sales,  Black,  Male,  United-States, 118773
45,  Private,  Bachelors,  Divorced,  Exec-managerial,  White,  Male,  United-States, 169473
30,  Federal-gov,  Some-college,  Married-civ-spouse,  Adm-clerical,  White,  Male,  United-States, 130178
22,  State-gov,  Some-college,  Married-civ-spouse,  Other-service,  Black,  Male,  United-States, 182419
48,  Private,  11th,  Never-married,  Machine-op-inspct,  White,  Male,  Puerto-Rico, 66942
21,  Private,  Some-college,  Never-married,  Machine-op-inspct,  White,  Male,  United-States, 127207
19,  Private,  HS-grad,  Married-AF-spouse,  Adm-clerical,  White,  Female,  United-States, 73611
31,  Private,  Some-college,  Married-civ-spouse,  Sales,  White,  Male,  ?, 89516
48,  Self-emp-not-inc,  Assoc-acdm,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 81267
31,  Private,  9th,  Married-civ-spouse,  Machine-op-inspct,  White,  Male,  United-States, 106535
53,  Self-emp-not-inc,  Bachelors,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 64112
24,  Private,  Bachelors,  Married-civ-spouse,  Tech-support,  White,  Male,  United-States, 195327
49,  Private,  HS-grad,  Separated,  Adm-clerical,  White,  Female,  United-States, 163797
25,  Private,  HS-grad,  Never-married,  Handlers-cleaners,  White,  Male,  United-States, 195046
57,  Federal-gov,  Bachelors,  Married-civ-spouse,  Prof-specialty,  Black,  Male,  United-States, 137242
53,  Private,  HS-grad,  Married-civ-spouse,  Machine-op-inspct,  White,  Male,  United-States, 16836
