AGE, EMPLOYER, EDUCATION, MARRIAGE, JOB, RACE, GENDER, COUNTRY, SALARY
44,  Private,  Bachelors,  Married-civ-spouse,  Adm-clerical,  White,  Male,  United-States, 126865
35,  Private,  Some-college,  Divorced,  Machine-op-inspct,  Black,  Female,  United-States, 69694
25,  Private,  Some-college,  Married-civ-spouse,  Sales,  White,  Male,  United-States, 180733
42,  Local-gov,  Masters,  Divorced,  Prof-specialty,  White,  Male,  United-States, 37156
47,  ?,  7th-8th,  Married-civ-spouse,  ?,  White,  Male,  United-States, 60833
35,  Private,  HS-grad,  Married-civ-spouse,  Adm-clerical,  White,  Male,  United-States, 122344
56,  ?,  Masters,  Never-married,  ?,  White,  Female,  United-States, 130673
36,  Local-gov,  Some-college,  Married-civ-spouse,  Protective-serv,  White,  Male,  United-States, 55399
41,  Private,  HS-grad,  Married-civ-spouse,  Machine-op-inspct,  White,  Male,  United-States, 83640
47,  Federal-gov,  Bachelors,  Married-spouse-absent,  Exec-managerial,  White,  Male,  United-States, 140548
57,  Local-gov,  Masters,  Divorced,  Other-service,  Black,  Female,  United-States, 155116
23,  Private,  Bachelors,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 181505
27,  Private,  Assoc-voc,  Never-married,  Prof-specialty,  White,  Female,  Canada, 182227
17,  Private,  10th,  Never-married,  Other-service,  White,  Male,  United-States, 158074
23,  Private,  Some-college,  Married-civ-spouse,  Sales,  White,  Female,  United-States, 128742
19,  Private,  HS-grad,  Never-married,  Other-service,  Asian-Pac-Islander,  Male,  United-States, 146959
42,  Private,  11th,  Married-civ-spouse,  Transport-moving,  White,  Male,  United-States, 147540
47,  Private,  Some-college,  Married-civ-spouse,  Adm-clerical,  Black,  Female,  United-States, 12130
21,  ?,  HS-grad,  Never-married,  ?,  White,  Female,  United-States, 50320
59,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Exec-managerial,  White,  Male,  United-States, 180883
53,  ?,  12th,  Married-civ-spouse,  ?,  White,  Female,  Italy, 106678
52,  Private,  Prof-school,  Divorced,  Exec-managerial,  White,  Male,  United-States, 47578
21,  ?,  Some-college,  Never-married,  ?,  White,  Female,  United-States, 42530
36,  Private,  Bachelors,  Married-civ-spouse,  Prof-specialty,  Asian-Pac-Islander,  Female,  Philippines, 126281
25,  Private,  HS-grad,  Separated,  Other-service,  Black,  Male,  United-States, 21178
31,  Private,  Bachelors,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 179133
53,  Self-emp-not-inc,  Some-college,  Married-civ-spouse,  Farming-fishing,  White,  Male,  United-States, 97103
33,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Transport-moving,  White,  Male,  United-States, 189918
40,  Federal-gov,  Bachelors,  Married-civ-spouse,  Adm-clerical,  White,  Male,  United-States, 180223
30,  Private,  Assoc-voc,  Married-civ-spouse,  Exec-managerial,  White,  Male,  United-States, 70063
46,  Private,  Bachelors,  Married-civ-spouse,  Sales,  White,  Male,  United-States, 158462
29,  Self-emp-not-inc,  HS-grad,  Never-married,  Farming-fishing,  White,  Male,  United-States, 167504
28,  Self-emp-not-inc,  Masters,  Never-married,  Prof-specialty,  White,  Male,  United-States, 62047
22,  Private,  HS-grad,  Never-married,  Handlers-cleaners,  White,  Male,  United-States, 36972
49,  Private,  Masters,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 109174
26,  Private,  HS-grad,  Never-married,  Farming-fishing,  White,  Male,  United-States, 158652
36,  Private,  Some-college,  Widowed,  Sales,  White,  Female,  United-States, 13061
65,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Exec-managerial,  White,  Male,  United-States, 183581
27,  Private,  Some-college,  Never-married,  Adm-clerical,  White,  Female,  United-States, 108497
46,  Private,  Some-college,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 130159
45,  Private,  Doctorate,  Never-married,  Prof-specialty,  White,  Male,  United-States, 12835
20,  Private,  Assoc-acdm,  Never-married,  Sales,  White,  Female,  United-States, 99885
20,  Private,  Some-college,  Never-married,  Craft-repair,  White,  Male,  United-States, 116066
55,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 128165
45,  Federal-gov,  Bachelors,  Married-civ-spouse,  Handlers-cleaners,  White,  Male,  United-States, 36947
37,  Private,  HS-grad,  Never-married,  Adm-clerical,  Black,  Female,  United-States, 188915
51,  Private,  7th-8th,  Widowed,  Machine-op-inspct,  Amer-Indian-Eskimo,  Female,  United-States, 197253
29,  Private,  Bachelors,  Never-married,  Adm-clerical,  White,  Female,  United-States, 155393
48,  Self-emp-inc,  10th,  Married-civ-spouse,  Exec-managerial,  White,  Male,  United-States, 101347
36,  ?,  Assoc-voc,  Divorced,  ?,  White,  Male,  United-States, 168630
17,  Private,  11th,  Never-married,  Other-service,  White,  Female,  United-States, 121418
27,  Private,  HS-grad,  Never-married,  Sales,  White,  Male,  United-States, 138092
45,  ?,  HS-grad,  Divorced,  ?,  White,  Female,  United-States, 141329
38,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 191056
30,  Private,  Bachelors,  Never-married,  Exec-managerial,  Asian-Pac-Islander,  Female,  Taiwan, 25409
48,  State-gov,  Some-college,  Divorced,  Exec-managerial,  White,  Female,  United-States, 46284
42,  Private,  HS-grad,  Married-civ-spouse,  Sales,  Black,  Male,  United-States, 49736
40,  Private,  HS-grad,  Married-civ-spouse,  Handlers-cleaners,  White,  Male,  United-States, 29296
